39:48.4	42.19384	116.7657	-20.53393	-7.73042	0	2	内蒙古自治区    	锡林郭勒盟     	多伦县       
39:51.1	39.98511	116.0271	47.09815	11.37465	70.08525	6	北京市       	北京市市辖区    	北京市市辖区    
40:58.7	39.9735	116.1906	38.77322	4.962972	70.08982	6	北京市       	北京市市辖区    	北京市市辖区    
42:29.9	40.12458	115.442	-52.92474	-11.67994	0	2	河北省       	张家口市      	涿鹿县       
42:50.2	40.64284	116.1215	54.73265	6.091982	69.83488	6	北京市       	北京市县      	延庆县       
42:50.2	40.63	116.1146	62.47038	8.506604	69.8398	6	北京市       	北京市县      	延庆县       
42:56.7	39.98597	115.9848	48.05565	9.04577	70.08493	6	北京市       	北京市市辖区    	北京市市辖区    
43:21.6	39.99766	116.1744	73.78511	8.994757	0	6	北京市       	北京市市辖区    	北京市市辖区    
43:31.6	40.55153	116.1074	35.88772	6.124838	0	2	北京市       	北京市县      	延庆县       
43:41.3	41.02557	116.4113	75.83367	7.827992	69.68826	6	河北省       	承德市       	丰宁满族自治县   
44:26.5	40.22162	116.1452	76.47787	8.980886	209.9872	6	北京市       	北京市县      	昌平县       
44:57.1	40.21074	116.1462	28.67466	7.058378	0	5	北京市       	北京市县      	昌平县       
44:57.7	40.21373	116.1633	92.05974	10.15832	69.99848	6	北京市       	北京市县      	昌平县       
45:45.6	40.60936	116.2491	50.74856	7.642136	222.5295	6	北京市       	北京市县      	延庆县       
45:51.0	40.61396	116.0815	26.40293	6.258472	0	2	河北省       	张家口市      	赤城县       
45:57.4	40.20979	116.1757	148.6667	17.9522	69.99996	6	北京市       	北京市县      	昌平县       
45:57.4	40.2245	116.1692	128.3997	15.95646	69.99422	6	北京市       	北京市县      	昌平县       
45:57.9	40.33659	116.2639	33.52026	5.431131	69.95187	6	北京市       	北京市县      	昌平县       
46:04.3	40.75072	116.1227	71.94192	10.00931	0	6	河北省       	张家口市      	赤城县       
46:04.4	41.23842	115.8406	99.00839	7.49886	0.0949949	6	河北省       	张家口市      	赤城县       
46:41.3	40.60791	116.1891	44.83323	7.86117	222.5295	6	北京市       	北京市县      	延庆县       
47:09.6	40.02025	116.1953	77.21216	10.40332	70.07192	6	北京市       	北京市市辖区    	北京市市辖区    
